,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,year
0,Frank Robinson,CAL,147,534,85,142,29,0,30,97,82,93,1,1,.266,.372,.489,.861,1973
1,Orlando Cepeda,BOS,142,550,51,159,25,0,20,86,50,81,0,2,.289,.350,.444,.794,1973
2,Tony Oliva,MIN,146,571,63,166,20,0,16,92,45,44,2,1,.291,.345,.410,.755,1973
3,Carlos May,CWS,149,553,62,148,20,0,20,96,53,73,8,6,.268,.334,.412,.746,1973
4,Tommy Davis,BAL,137,552,53,169,20,3,7,89,30,56,11,3,.306,.341,.391,.732,1973
5,Deron Johnson,OAK,143,500,64,120,16,2,20,86,64,126,0,1,.240,.326,.400,.726,1973
6,Alex Johnson,TEX,158,624,62,179,26,3,8,68,32,82,10,5,.287,.322,.377,.699,1973
0,Billy Williams,OAK,155,520,68,127,20,1,23,81,76,68,0,0,.244,.341,.419,.760,1975
1,Willie Horton,DET,159,615,62,169,13,1,25,92,44,109,1,2,.275,.319,.421,.740,1975
2,Tony Oliva,MIN,131,455,46,123,10,0,13,58,41,45,0,1,.270,.344,.378,.722,1975
3,Hank Aaron,MIL,137,465,45,109,16,2,12,60,70,51,0,1,.234,.332,.355,.687,1975
0,Hal McRae,KC,149,527,75,175,34,5,8,73,64,43,22,12,.332,.407,.461,.868,1976
1,Rico Carty,CLE,152,552,67,171,34,0,13,83,67,45,1,1,.310,.379,.442,.821,1976
2,Tom Grieve,TEX,149,546,57,139,23,3,20,81,35,119,4,1,.255,.301,.418,.719,1976
0,Jim Rice,BOS,160,644,104,206,29,15,39,114,53,120,5,4,.320,.376,.593,.969,1977
1,Hal McRae,KC,162,641,104,191,54,11,21,92,59,43,18,14,.298,.366,.515,.881,1977
2,Ron Fairly,TOR,132,458,60,128,24,2,19,64,58,58,0,4,.279,.362,.465,.827,1977
3,Eddie Murray,BAL,160,611,81,173,29,2,27,88,48,104,0,1,.283,.333,.470,.803,1977
4,Rico Carty,CLE,127,461,50,129,23,1,15,80,56,51,1,2,.280,.355,.432,.787,1977
5,Rusty Staub,DET,158,623,84,173,34,3,22,101,59,47,1,1,.278,.336,.448,.784,1977
6,Don Baylor,CAL,154,561,87,141,27,0,25,75,62,76,26,12,.251,.334,.433,.767,1977
7,Willie Horton,TEX,140,523,55,151,23,3,15,75,42,117,2,3,.289,.337,.430,.767,1977
0,Rico Carty,OAK,145,528,70,149,21,1,31,99,57,57,1,1,.282,.348,.502,.850,1978
1,Don Baylor,CAL,158,591,103,151,26,0,34,99,56,71,22,9,.255,.332,.472,.804,1978
2,Rusty Staub,DET,162,642,75,175,30,1,24,121,76,35,3,1,.273,.347,.435,.782,1978
3,Richie Zisk,TEX,140,511,68,134,19,1,22,85,58,76,3,3,.262,.338,.432,.770,1978
4,Hal McRae,KC,156,623,90,170,39,5,16,72,51,62,17,8,.273,.329,.429,.758,1978
5,Lee May,BAL,148,556,56,137,16,1,25,80,31,110,5,2,.246,.286,.414,.700,1978
0,Carl Yastrzemski,BOS,147,518,69,140,28,1,21,87,62,46,3,3,.270,.346,.450,.796,1979
1,Willie Horton,SEA,162,646,77,180,19,5,29,106,42,112,1,1,.279,.326,.458,.784,1979
2,Rico Carty,TOR,132,461,48,118,26,0,12,55,46,45,3,1,.256,.322,.390,.712,1979
3,Mitchell Page,OAK,133,478,51,118,11,2,9,42,52,93,17,16,.247,.323,.335,.658,1979
0,Hal McRae,KC,124,489,73,145,39,5,14,83,29,56,10,2,.297,.342,.483,.825,1980
0,Richie Zisk,SEA,94,357,42,111,12,1,16,43,28,63,0,2,.311,.366,.485,.851,1981
1,Greg Luzinski,CWS,104,378,55,100,15,1,21,62,58,80,0,0,.265,.365,.476,.841,1981
2,Al Oliver,TEX,102,421,53,130,29,1,4,55,24,28,3,0,.309,.348,.411,.759,1981
3,Don Baylor,CAL,103,377,52,90,18,1,17,66,42,51,3,3,.239,.322,.427,.749,1981
4,Hal McRae,KC,101,389,38,106,23,2,7,36,34,33,3,4,.272,.330,.396,.726,1981
5,Carl Yastrzemski,BOS,91,338,36,83,14,1,7,53,49,28,0,1,.246,.338,.355,.693,1981
0,Hal McRae,KC,159,613,91,189,46,8,27,133,55,61,4,4,.308,.369,.542,.911,1982
1,Andre Thornton,CLE,161,589,90,161,26,1,32,116,109,81,6,7,.273,.386,.484,.870,1982
2,Greg Luzinski,CWS,159,583,87,170,37,1,18,102,89,120,1,1,.292,.386,.451,.837,1982
3,Richie Zisk,SEA,131,503,61,147,28,1,21,62,49,89,2,1,.292,.354,.477,.831,1982
4,Carl Yastrzemski,BOS,131,459,53,126,22,1,16,72,59,50,0,1,.275,.358,.431,.789,1982
5,Don Baylor,CAL,157,608,80,160,24,1,24,93,57,69,10,4,.263,.329,.424,.753,1982
6,Ken Singleton,BAL,156,561,71,141,27,2,14,77,86,93,0,1,.251,.349,.381,.730,1982
0,Don Baylor,NYY,144,534,82,162,33,3,21,85,40,53,17,7,.303,.361,.494,.855,1983
