Name,Age,Team_x,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,wOBA,OAA,OFF,DEF,Qualified DH,Team_y,Run Differential,Team_Abbreviation
Ronald Acuna Jr.,24,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,193,8,10,0,3,4,0.337693762,0.0,0.337693762,0.0,No,Atlanta Braves,180,ATL
Ehire Adrianza#,32,ATL,NL,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,55,3,0,0,0,0,0,0.264375,0.0,0.264375,0.0,No,Atlanta Braves,180,ATL
Ozzie Albies#,25,ATL,NL,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,93,101,0,2,0,4,0,0.306802974,0.0,0.306802974,0.0,No,Atlanta Braves,180,ATL
Orlando Arcia,27,ATL,NL,67,234,209,25,51,9,0,9,30,0,0,21,51,0.244,0.316,0.416,0.733,102,87,7,2,0,2,0,0.323205128,-3.0,0.323205128,-3.0,No,Atlanta Braves,180,ATL
Rylan Bannon,26,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Atlanta Braves,180,ATL
Robinson Cano*,39,ATL,NL,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192,0.377,6,5,2,0,0,0,0,0.171481481,0.0,0.171481481,0.0,No,Atlanta Braves,180,ATL
William Contreras,24,ATL,NL,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,136,169,5,1,0,2,1,0.373226667,-3.0,0.373226667,-3.0,No,Atlanta Braves,180,ATL
Travis d'Arnaud,33,ATL,NL,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117,187,12,11,0,0,0,0.345962441,-2.0,0.345962441,-2.0,No,Atlanta Braves,180,ATL
Travis Demeritte,27,ATL,NL,26,96,89,9,19,2,0,3,6,0,0,6,32,0.213,0.26,0.337,0.597,65,30,2,0,0,1,0,0.265,1.0,0.265,1.0,No,Atlanta Braves,180,ATL
Alex Dickerson*,32,ATL,NL,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,13,7,3,0,0,0,0,0.19,2.0,0.19,2.0,No,Atlanta Braves,180,ATL
Adam Duvall,33,ATL,NL,86,315,287,39,61,16,1,12,36,0,2,21,101,0.213,0.276,0.401,0.677,86,115,2,5,0,2,0,0.297492063,-3.0,0.297492063,-3.0,No,Atlanta Braves,180,ATL
Mike Ford*,29,ATL,NL,5,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,-61,0,0,0,0,0,0,0.08625,0.4,0.08625,0.4,No,Atlanta Braves,180,ATL
Phil Gosselin,33,ATL,NL,12,24,23,4,6,0,0,0,0,0,0,1,6,0.261,0.292,0.261,0.553,56,6,0,0,0,0,0,0.25125,-1.411764706,0.25125,-1.411764706,No,Atlanta Braves,180,ATL
Vaughn Grissom,21,ATL,NL,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,119,62,0,3,0,1,1,0.347612903,-2.0,0.347612903,-2.0,No,Atlanta Braves,180,ATL
Robbie Grossman#,32,ATL,NL,46,157,138,16,30,6,0,5,22,3,1,18,39,0.217,0.306,0.37,0.675,87,51,1,0,0,1,0,0.302229299,0.0,0.302229299,0.0,No,Atlanta Braves,180,ATL
Michael Harris II*,21,ATL,NL,114,441,414,75,123,27,3,19,64,20,2,21,107,0.297,0.339,0.514,0.853,133,213,7,5,1,0,0,0.370454545,-6.0,0.370454545,-6.0,No,Atlanta Braves,180,ATL
Guillermo Heredia,31,ATL,NL,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.22,0.342,0.562,53,26,1,0,0,0,0,0.247804878,-1.0,0.247804878,-1.0,No,Atlanta Braves,180,ATL
Matt Olson*,28,ATL,NL,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,120,294,13,4,0,4,6,0.346421356,-3.0,0.346421356,-3.0,No,Atlanta Braves,180,ATL
